Date,one dose cumulative
2021-08-13,82.49
2021-08-14,82.6
2021-08-15,82.67
2021-08-16,82.69
2021-08-17,82.76
2021-08-18,82.86
2021-08-19,83.02
2021-08-20,83.14
2021-08-21,83.22
2021-08-22,83.27
2021-08-23,83.32
2021-08-24,83.46
2021-08-25,83.6
2021-08-26,83.71
2021-08-27,83.82
2021-08-28,83.92
2021-08-29,83.98
2021-08-30,84.01
2021-08-31,84.05
2021-09-01,84.13
2021-09-02,84.26
2021-09-03,84.43
2021-09-04,84.8
2021-09-05,84.85
2021-09-06,84.87
2021-09-07,84.88
2021-09-08,84.95
2021-09-09,84.94
2021-09-10,84.99
2021-09-11,85.13
2021-09-12,85.21
2021-09-13,85.26
2021-09-14,85.37
2021-09-15,85.46
2021-09-16,85.59
2021-09-17,85.72
2021-09-18,85.86
2021-09-19,85.93
2021-09-20,85.97
2021-09-21,86.11
2021-09-22,86.22
2021-09-23,86.36
2021-09-24,86.5
2021-09-25,86.64
2021-09-26,86.69
2021-09-27,86.71
2021-09-28,86.84
2021-09-29,86.94
2021-09-30,86.99
2021-10-01,87.06
2021-10-02,87.17
2021-10-03,87.2
2021-10-04,87.21
2021-10-05,87.2
2021-10-06,87.26
2021-10-07,87.29
2021-10-08,87.3
2021-10-09,87.39
2021-10-10,87.43
2021-10-11,87.44
2021-10-12,87.44
2021-10-13,87.5
2021-10-14,87.56
2021-10-15,87.63
2021-10-16,87.69
2021-10-17,87.75
2021-10-18,87.76
2021-10-19,87.81
2021-10-20,87.86
2021-10-21,87.88
2021-10-22,87.93
2021-10-23,88.01
2021-10-24,88.03
2021-10-25,88.04
2021-10-26,88.05
2021-10-27,88.06
2021-10-28,88.03
2021-10-29,88.04
2021-10-30,88.1
2021-10-31,88.13
2021-11-01,88.14
2021-11-02,88.16
2021-11-03,88.19
2021-11-04,88.19
2021-11-05,88.19
2021-11-06,88.21
2021-11-07,88.23
2021-11-08,88.28
2021-11-09,88.25
2021-11-10,88.27
2021-11-11,88.29
2021-11-12,88.31
2021-11-13,88.32
2021-11-14,88.33
2021-11-15,88.35
2021-11-16,88.38
2021-11-17,88.35
2021-11-18,88.37
2021-11-19,88.41
2021-11-20,88.46
2021-11-21,88.47
2021-11-22,88.49
2021-11-23,88.47
2021-11-24,88.48
2021-11-25,88.5
2021-11-26,88.52
2021-11-27,88.51
2021-11-28,88.53
2021-11-29,88.54
2021-11-30,88.56
2021-12-01,82.72
2021-12-02,82.81
2021-12-03,82.99
2021-12-04,83.12
2021-12-05,83.23
2021-12-06,83.38
2021-12-07,83.5
2021-12-08,83.6
2021-12-09,83.67
2021-12-10,83.81
2021-12-11,83.95
2021-12-12,84.03
2021-12-13,84.14
2021-12-14,84.27
2021-12-15,84.32
2021-12-16,84.37
2021-12-17,84.43
2021-12-18,84.52
2021-12-19,84.61
2021-12-20,84.7
2021-12-21,84.88
2021-12-22,85.02
2021-12-23,85.12
2021-12-24,85.2
2021-12-25,85.21
2021-12-26,85.21
2021-12-27,85.21
2021-12-28,85.29
2021-12-29,85.44
2021-12-30,85.51
2021-12-31,85.59
2022-01-01,85.62
2022-01-02,85.62
2022-01-03,85.66
2022-01-04,85.73
2022-01-05,85.73
2022-01-06,85.74
2022-01-07,85.78
2022-01-08,85.81
2022-01-09,85.87
2022-01-10,85.87
2022-01-11,85.83
2022-01-12,85.86
2022-01-13,85.88
2022-01-14,85.93
2022-01-15,85.92
2022-01-16,85.96
2022-01-17,85.97
2022-01-18,85.98
2022-01-19,86.02
2022-01-20,86.06
2022-01-21,86.14
2022-01-22,86.27
2022-01-23,86.39
2022-01-24,86.46
2022-01-25,86.63
2022-01-26,86.74
2022-01-27,86.94
2022-01-28,86.98
2022-01-29,87.01
2022-01-30,87.04
2022-01-31,87.05
2022-02-01,87.07
2022-02-02,87.09
2022-02-03,87.11
2022-02-04,87.12
2022-02-05,87.22
2022-02-06,87.25
2022-02-07,87.26
2022-02-08,87.31
2022-02-09,87.33
2022-02-10,87.34
2022-02-11,87.34
2022-02-12,87.36
2022-02-13,87.37
2022-02-14,87.39
2022-02-15,87.42
2022-02-16,87.44
2022-02-17,87.45
2022-02-18,87.45
2022-02-19,87.44
2022-02-20,87.44
2022-02-21,87.45
2022-02-22,87.45
2022-02-23,87.45
2022-02-24,87.45
2022-02-25,87.47
2022-02-26,87.46
2022-02-27,87.46
2022-02-28,87.47
2022-03-01,87.3
2022-03-02,87.06
2022-03-03,87.05
2022-03-04,87.05
2022-03-05,87.07
2022-03-06,87.07
2022-03-07,87.07
2022-03-08,87.08
2022-03-09,87.07
2022-03-10,87.07
2022-03-11,87.08
2022-03-12,87.08
2022-03-13,87.08
